# Omega_m h0 Omega_b n_s ln(10^{10}A_s) Omeganuh2 Neff w
3.190035e-01 7.634992e-01 6.355697e-02 9.419965e-01 2.951269e+00 3.442048e-03 2.281282e+00 -1.015817e+00
2.753717e-01 7.886587e-01 4.976139e-02 1.052284e+00 3.348902e+00 7.062618e-03 2.267999e+00 -7.731470e-01
2.796196e-01 8.555746e-01 6.434529e-02 1.046174e+00 3.235840e+00 9.436574e-03 3.917637e+00 -9.453179e-01
2.735276e-01 7.965584e-01 6.099033e-02 1.032510e+00 3.101553e+00 4.146683e-03 3.027760e+00 -1.013350e+00
2.691615e-01 7.084329e-01 5.769727e-02 9.856594e-01 3.220343e+00 3.855642e-03 3.864945e+00 -1.202529e+00
3.441185e-01 6.075374e-01 5.175919e-02 1.040902e+00 3.785667e+00 9.770957e-03 4.089689e+00 -6.382493e-01
3.156830e-01 6.000560e-01 3.648210e-02 1.032010e+00 3.568442e+00 6.120320e-03 3.371113e+00 -8.258866e-01
3.611459e-01 6.648742e-01 6.518541e-02 8.764826e-01 3.279045e+00 8.476557e-03 2.820720e+00 -7.512082e-01
2.705947e-01 8.503268e-01 6.444984e-02 9.350242e-01 3.445343e+00 9.692195e-03 2.455613e+00 -9.961680e-01
3.280084e-01 5.167041e-01 4.592573e-02 1.060740e+00 3.767029e+00 6.353748e-03 2.405443e+00 -6.335994e-01
2.054737e-01 8.930777e-01 3.192281e-02 9.514815e-01 3.261448e+00 9.978647e-03 2.369582e+00 -1.231456e+00
2.617327e-01 8.816792e-01 6.146447e-02 9.384615e-01 3.108302e+00 6.994838e-03 2.046818e+00 -1.082536e+00
2.866167e-01 6.196241e-01 4.544743e-02 1.031962e+00 3.610485e+00 3.919939e-03 3.784153e+00 -9.000912e-01
2.810894e-01 6.923527e-01 2.918058e-02 9.431644e-01 3.347533e+00 4.314619e-03 4.151897e+00 -8.468781e-01
3.377216e-01 6.240045e-01 5.809001e-02 9.639706e-01 3.539103e+00 8.812313e-03 3.212605e+00 -7.929099e-01
2.295421e-01 8.891406e-01 5.174725e-02 8.945688e-01 3.101247e+00 1.886269e-03 3.011684e+00 -1.149909e+00
3.034260e-01 7.979662e-01 6.519702e-02 9.011938e-01 3.210461e+00 3.518537e-03 3.173867e+00 -7.035401e-01
2.765715e-01 8.823977e-01 5.665885e-02 9.453730e-01 3.324897e+00 6.525680e-03 2.572810e+00 -8.103185e-01
3.298590e-01 7.027897e-01 5.898504e-02 1.028106e+00 3.755527e+00 9.777688e-03 3.642038e+00 -5.381073e-01
3.155087e-01 7.472182e-01 6.061741e-02 1.052201e+00 3.578118e+00 5.293490e-03 3.176459e+00 -3.041661e-01
2.357906e-01 8.839664e-01 4.465855e-02 9.746789e-01 3.200010e+00 2.452431e-03 3.682154e+00 -9.025529e-01
3.485249e-01 6.725047e-01 5.438381e-02 9.116405e-01 3.261232e+00 7.967703e-03 2.697787e+00 -6.904168e-01
2.800214e-01 7.393393e-01 3.852465e-02 1.014958e+00 3.204093e+00 7.154209e-03 2.618009e+00 -8.754738e-01
2.766873e-01 6.000750e-01 4.549713e-02 1.013196e+00 3.638940e+00 5.360168e-03 3.120399e+00 -1.023918e+00
3.670746e-01 6.168506e-01 5.387198e-02 9.064718e-01 3.558133e+00 9.615192e-03 3.469683e+00 -5.165211e-01
2.982894e-01 8.434692e-01 6.907894e-02 9.747294e-01 3.450044e+00 8.404970e-03 3.071951e+00 -6.974892e-01
2.641916e-01 8.868716e-01 6.887671e-02 1.016126e+00 3.120699e+00 1.588041e-03 3.225134e+00 -9.531206e-01
2.866096e-01 7.677585e-01 4.898473e-02 9.479886e-01 3.428524e+00 2.578452e-03 3.079078e+00 -5.937257e-01
2.675355e-01 5.858431e-01 2.697681e-02 1.004178e+00 3.467753e+00 4.223815e-03 3.338600e+00 -1.051506e+00
3.239984e-01 5.365306e-01 5.028791e-02 1.034336e+00 3.605646e+00 1.853255e-03 4.065655e+00 -7.444411e-01
1.867226e-01 8.660586e-01 2.928124e-02 1.060308e+00 3.353527e+00 6.921925e-03 3.144496e+00 -1.308836e+00
2.984947e-01 8.249073e-01 6.636338e-02 8.508184e-01 2.918478e+00 1.254419e-03 3.265442e+00 -9.702364e-01
3.592976e-01 6.445999e-01 6.974581e-02 1.029130e+00 3.691189e+00 5.291490e-03 3.637809e+00 -4.241242e-01
3.234613e-01 6.522458e-01 3.389603e-02 8.838402e-01 3.390781e+00 2.732113e-03 3.181473e+00 -5.872207e-01
3.087705e-01 5.463912e-01 3.878904e-02 1.009496e+00 3.686943e+00 6.399744e-03 3.226349e+00 -7.721247e-01
2.920229e-01 8.542108e-01 6.128412e-02 9.663479e-01 3.299600e+00 7.346816e-03 2.463389e+00 -7.288252e-01
2.962083e-01 8.171086e-01 5.169363e-02 1.008427e+00 3.368037e+00 9.693166e-03 3.243485e+00 -8.711650e-01
3.026029e-01 8.511740e-01 6.391202e-02 9.980172e-01 3.313665e+00 9.172315e-03 2.290977e+00 -6.237077e-01
